transport,scenario,trace_type,packet_count,risk_level,fingerprint_risk_score,small_packet_ratio,repeated_length_ratio,ngram_entropy,dominant_ngram_ratio,burst_count,max_burst_size
ssh,bulk,skipped,0,skipped,,,,,,,
ssh,curl,skipped,0,skipped,,,,,,,
ssh,idle,skipped,0,skipped,,,,,,,
ssh,ping,skipped,0,skipped,,,,,,,
ssh,reconnect,skipped,0,skipped,,,,,,,
tcp,bulk,skipped,0,skipped,,,,,,,
tcp,curl,skipped,0,skipped,,,,,,,
tcp,idle,real,2,insufficient_data,0.0,0.5,0.0,0.0,0.0,2,144
tcp,ping,skipped,0,skipped,,,,,,,
tcp,reconnect,skipped,0,skipped,,,,,,,
tls,bulk,skipped,0,skipped,,,,,,,
tls,curl,skipped,0,skipped,,,,,,,
tls,idle,skipped,0,skipped,,,,,,,
tls,ping,skipped,0,skipped,,,,,,,
tls,reconnect,skipped,0,skipped,,,,,,,
websocket,bulk,skipped,0,skipped,,,,,,,
websocket,curl,skipped,0,skipped,,,,,,,
websocket,idle,skipped,0,skipped,,,,,,,
websocket,ping,skipped,0,skipped,,,,,,,
websocket,reconnect,skipped,0,skipped,,,,,,,
