timestamp,src,dst,src_port,dst_port,proto,length,direction
1779209587.113842,127.0.0.1,127.0.0.1,35206,9223,tcp,74,C2S
1779209587.11386,127.0.0.1,127.0.0.1,9223,35206,tcp,74,S2C
1779209587.113875,127.0.0.1,127.0.0.1,35206,9223,tcp,66,C2S
1779209587.114039,127.0.0.1,127.0.0.1,35206,9223,tls,583,C2S
1779209587.114044,127.0.0.1,127.0.0.1,9223,35206,tcp,66,S2C
1779209587.121784,127.0.0.1,127.0.0.1,9223,35206,tls,1403,S2C
1779209587.121795,127.0.0.1,127.0.0.1,35206,9223,tcp,66,C2S
1779209587.122802,127.0.0.1,127.0.0.1,35206,9223,tls,146,C2S
1779209587.122968,127.0.0.1,127.0.0.1,9223,35206,tls,321,S2C
1779209587.122978,127.0.0.1,127.0.0.1,35206,9223,tls,118,C2S
1779209587.123044,127.0.0.1,127.0.0.1,9223,35206,tls,321,S2C
1779209587.165767,127.0.0.1,127.0.0.1,35206,9223,tcp,66,C2S
